"","day","hour","min_group","statn 1","statn 2","statn 3","statn 4","statn 5","statn 6","statn 7","statn 8","statn 9","statn 10","statn 11","statn 12","statn 13","statn 14","statn 15","statn 16","statn 17","statn 18","statn 19","statn 20","statn 21","statn 22","statn 23","statn 24","statn 25","statn 26","statn 27","statn 28","statn 29","statn 30","statn 31","statn 32","statn 33","statn 34","statn 35","statn 36","statn 37","statn 38","statn 39","statn 40","statn 41","statn 42","statn 43","statn 44","statn 45","statn 46","statn 47","statn 48","statn 49","statn 50","statn 51","statn 52","statn 53","statn 54","statn 55","statn 56","statn 57","statn 58","statn 59","statn 60","statn 61","statn 62","statn 63","statn 64","statn 65","statn 66","statn 67","statn 68","statn 69","statn 70","statn 71","statn 72","statn 73","statn 74","statn 75","statn 76","statn 77","statn 78","statn 79","statn 80","statn 81","statn 82","statn 83","statn 84","statn 85","statn 86","statn 87","statn 88","statn 89","statn 90","statn 91","statn 92","statn 93","statn 94","statn 95","statn 96","statn 97","statn 98","statn 99","statn 100","statn 101","statn 102","statn 103","statn 104","statn 105","statn 106","statn 107","statn 108","statn 109","statn 110","statn 111","statn 112","statn 113","statn 114","statn 115","statn 116","statn 117","statn 118","statn 119","statn 120","statn 121","statn 122","statn 123","statn 124","statn 125","statn 126","statn 127","statn 128","statn 129","statn 130","statn 131","statn 132","statn 133","statn 134","statn 135","statn 136","statn 137","statn 138","statn 139","statn 140","statn 141","statn 142"
"17","Thursday","12","5","17","18","19","23","16","28","20","16","14","16","18","20","16","27","24","13","18","18","21","20","23","28","15","11","17","19","21","13","23","22","26","25","22","16","18","17","24","19","26","16","24","28","15","20","18","21","19","23","23","23","17","25","21","22","15","23","21","20","18","22","23","13","27","20","12","21","18","22","11","17","22","21","5","15","24","15","24","34","18","16","24","19","20","17","24","24","14","27","19","24","15","16","14","25","21","17","21","16","20","23","12","12","20","10","16","17","23","20","27","22","19","17","15","14","19","20","21","26","20","18","17","16","20","24","21","26","20","21","14","29","21","16","23","21","16","22","15","19","16","19","20","17"
"18","Thursday","12","6","15","18","17","14","14","10","17","24","13","20","22","18","16","26","22","22","26","17","8","14","14","22","26","20","18","25","28","20","18","20","26","30","19","14","11","24","21","27","23","16","26","19","25","19","18","15","12","18","21","19","16","25","17","15","24","19","13","22","36","20","22","20","15","23","24","14","18","16","23","13","23","14","15","17","25","16","22","17","25","20","20","23","18","17","24","19","23","24","19","31","15","22","11","24","19","19","28","21","19","35","23","17","20","15","22","23","21","28","20","23","21","26","20","18","20","25","25","14","20","21","33","26","18","17","20","22","27","32","15","23","12","21","17","15","10","13","17","22","17","24","23","17"
"19","Thursday","13","1","29","23","17","20","26","22","21","27","24","14","28","15","20","21","19","25","30","18","23","17","19","24","17","17","12","14","16","21","22","24","24","23","23","19","19","17","18","17","18","22","9","13","24","19","24","23","23","20","22","6","19","24","24","30","22","18","19","19","18","13","9","25","25","28","21","21","18","22","21","24","6","15","19","25","21","17","12","20","25","18","18","24","16","18","21","27","18","16","22","20","25","20","22","24","22","19","14","20","31","24","16","14","7","23","20","20","15","19","16","13","15","24","20","18","11","20","18","31","18","15","19","20","20","21","19","13","32","26","22","12","22","22","24","25","23","20","24","11","28","15","18","28"
"20","Thursday","13","2","21","9","22","21","23","26","22","20","27","18","11","23","16","12","20","21","25","31","21","18","26","18","24","18","15","18","15","7","25","13","21","22","20","7","28","15","18","20","11","12","17","23","19","22","9","16","19","21","13","21","18","22","15","14","11","15","23","15","15","19","19","16","11","28","15","27","23","11","20","21","17","18","23","15","20","16","14","10","17","16","16","29","13","23","20","13","12","24","13","23","21","19","15","19","14","21","2","25","12","21","23","16","26","18","21","19","8","17","22","27","21","19","13","18","25","16","29","9","22","17","27","14","14","11","26","23","16","11","18","15","18","14","21","12","26","15","23","19","17","18","22","16"
"21","Thursday","13","3","19","21","16","24","17","15","9","16","16","16","19","19","21","20","25","12","24","21","18","20","17","16","24","19","12","15","21","24","18","13","19","15","22","19","24","21","27","26","28","19","18","25","23","24","31","27","30","10","20","25","24","27","13","17","19","26","13","27","20","27","16","21","19","21","27","25","21","11","21","15","21","23","23","27","26","13","11","16","13","15","28","11","20","12","15","24","18","24","18","21","15","20","20","15","26","12","24","13","13","19","24","26","21","21","21","35","14","23","25","16","19","23","32","26","20","19","20","19","15","16","23","27","25","25","15","27","18","14","12","10","20","19","19","28","18","14","25","17","20","26","23","17"
"22","Thursday","13","4","21","12","16","7","23","16","27","25","20","18","25","22","13","26","17","15","20","23","23","20","15","21","26","19","27","25","19","17","25","28","28","23","27","21","22","24","18","25","19","11","24","21","16","18","18","18","24","16","23","11","19","25","22","8","14","24","19","14","19","23","16","22","15","21","18","21","18","14","20","19","16","31","14","25","16","20","22","19","24","17","16","14","18","17","17","20","29","27","17","23","20","20","20","23","15","13","20","24","25","27","10","17","20","17","28","21","9","19","13","14","22","15","16","16","19","6","30","18","26","17","21","27","23","28","25","17","25","19","12","19","25","26","12","17","19","24","21","25","24","17","18","16"
"23","Thursday","13","5","21","18","19","19","17","17","13","28","18","19","17","30","20","25","12","23","13","25","14","18","16","18","30","26","16","19","25","25","24","18","22","16","27","16","17","24","20","18","25","18","31","25","16","25","26","12","16","16","12","22","28","18","24","25","21","17","16","16","27","25","9","24","19","20","16","11","26","13","20","25","21","28","20","22","20","12","20","15","17","21","19","20","13","27","18","15","16","21","23","12","17","20","22","23","19","7","22","15","22","17","18","12","15","23","14","20","21","18","32","13","21","17","15","28","16","19","27","25","16","22","21","17","18","15","18","14","19","21","16","21","20","13","20","20","15","31","20","12","25","21","17","23"
"24","Thursday","13","6","25","19","21","27","15","24","19","25","21","18","22","25","20","8","19","22","24","28","20","25","19","21","24","24","27","9","15","16","22","12","24","16","18","13","23","26","19","26","9","18","16","22","6","25","19","25","20","31","27","18","16","18","13","21","17","20","3","27","15","14","26","14","13","27","20","21","24","21","23","24","20","24","26","17","17","6","21","19","22","29","14","25","24","22","22","24","23","26","19","19","18","16","18","9","13","16","24","6","20","27","24","16","24","23","24","17","7","24","33","20","33","13","10","17","15","23","13","20","15","19","8","18","17","24","15","15","20","23","19","20","21","9","25","13","27","20","14","24","13","9","20","20"
"25","Thursday","14","1","13","16","24","13","17","21","22","14","5","22","23","23","27","9","18","18","24","24","17","13","18","16","22","23","17","17","18","21","15","26","16","10","20","13","19","28","12","16","28","23","20","26","18","17","22","19","17","23","17","18","22","22","22","11","15","9","22","17","22","16","27","19","29","18","12","33","17","13","23","20","24","17","19","25","19","19","19","20","28","16","17","17","21","18","15","23","16","18","14","30","18","15","15","17","21","19","16","15","21","12","9","14","24","19","16","28","21","21","24","16","11","21","18","21","22","22","25","27","16","21","20","13","16","16","20","25","23","25","16","27","19","24","21","18","22","18","26","22","17","12","10","12"
"26","Thursday","14","2","18","17","19","7","25","26","20","14","20","18","20","27","25","25","9","14","26","7","17","20","15","23","18","26","15","30","16","13","17","15","24","24","23","18","19","16","15","21","30","20","25","18","22","23","15","18","22","27","18","12","29","23","21","21","16","20","18","17","15","29","16","19","21","16","20","16","15","19","34","17","32","10","8","17","22","22","15","18","27","26","13","19","24","29","19","20","20","10","27","26","18","20","22","16","18","22","21","22","21","27","19","17","22","22","22","20","18","20","23","14","20","18","16","12","19","19","15","26","28","25","25","16","15","17","23","15","16","10","11","21","19","23","20","22","22","9","20","16","18","21","17","17"
"27","Thursday","14","3","27","21","20","22","25","16","17","14","23","22","21","17","15","16","19","15","16","21","21","15","22","13","14","18","22","15","24","18","22","14","16","24","22","14","14","14","29","18","10","16","22","15","16","24","19","24","14","11","25","19","24","20","17","16","14","25","15","15","22","22","20","15","13","22","21","13","19","18","18","15","27","11","14","25","12","16","19","19","16","17","18","19","15","23","15","15","17","18","19","17","22","23","13","22","19","20","16","13","13","17","9","17","21","25","14","24","19","12","18","21","19","20","16","21","16","19","19","13","21","27","16","8","21","19","21","23","17","31","14","26","23","14","20","17","12","22","28","17","15","15","6","21"
"28","Thursday","14","4","12","26","25","11","18","24","19","11","15","29","18","17","12","19","30","24","23","21","23","23","27","18","15","27","17","15","16","20","14","20","15","26","18","20","22","22","21","16","19","22","18","18","12","35","17","13","21","22","14","19","24","13","14","13","25","24","23","19","27","23","11","27","23","20","25","18","18","21","19","28","26","18","11","18","22","21","21","13","27","20","23","17","15","20","21","20","22","18","16","18","26","12","12","13","26","24","22","20","33","25","19","25","19","18","25","21","23","20","27","14","18","13","11","19","27","13","22","10","22","23","14","20","20","13","18","20","21","17","29","21","16","11","17","23","21","19","12","18","17","20","22","20"
"29","Thursday","14","5","22","16","15","19","18","21","22","18","17","14","21","14","22","25","23","22","16","18","23","17","25","17","21","21","23","28","27","20","15","24","15","29","14","16","14","27","19","29","21","18","14","20","22","24","24","27","17","13","23","12","17","22","17","19","13","10","26","15","29","24","19","14","20","19","14","18","24","15","15","20","31","13","26","24","14","21","24","16","10","24","18","23","6","18","25","22","20","28","17","7","14","20","22","29","25","29","26","21","23","15","28","24","21","12","22","14","16","14","17","28","26","17","25","18","13","12","18","23","18","24","16","12","29","11","12","19","22","19","17","18","21","15","20","16","27","16","21","15","15","17","20","28"
"30","Thursday","14","6","23","27","18","20","13","18","11","25","24","15","21","23","17","13","30","22","21","32","15","24","9","15","14","24","15","25","15","25","23","19","15","17","31","25","13","23","21","16","20","22","28","23","20","14","23","14","17","15","33","17","21","22","13","16","10","18","28","21","15","18","25","18","25","16","17","19","22","19","20","14","20","22","15","23","22","22","13","18","24","25","15","22","14","13","14","19","16","19","23","17","21","25","21","21","18","17","14","14","17","20","15","20","13","27","21","18","24","19","14","25","18","16","13","26","28","17","14","18","21","22","13","17","18","22","22","19","17","15","19","22","20","23","14","22","16","16","18","22","20","21","28","17"
"31","Thursday","15","1","22","15","16","23","18","24","13","21","24","14","21","24","16","20","14","18","24","20","23","17","25","13","13","17","24","21","23","22","20","24","28","18","10","28","16","18","26","27","24","20","23","5","24","12","24","15","19","25","24","34","7","18","24","18","9","21","19","30","11","24","20","26","17","21","21","13","20","12","22","21","23","18","21","15","18","24","18","31","23","19","20","18","18","22","12","28","28","14","27","17","19","16","23","20","16","25","19","21","24","17","18","25","21","18","21","13","20","24","19","13","17","22","19","20","30","21","24","19","25","22","22","14","18","26","11","19","12","24","16","21","19","16","17","20","23","20","23","30","12","16","14","12"
"32","Thursday","15","2","14","29","16","16","25","20","29","16","15","15","26","28","19","28","18","23","27","20","19","20","16","14","13","19","21","23","21","19","22","31","18","13","15","11","36","17","22","23","18","16","18","22","21","27","18","25","19","19","24","25","21","13","27","23","25","18","15","19","20","19","11","19","20","32","23","10","20","12","30","13","17","21","20","17","23","16","29","22","19","22","20","26","16","14","23","24","17","12","8","21","20","22","25","26","15","25","25","20","20","15","23","22","24","30","28","20","24","14","24","30","21","18","8","17","27","20","22","17","18","17","25","26","14","20","16","14","15","21","19","20","20","12","23","31","23","17","15","19","22","26","30","23"
"33","Thursday","15","3","14","23","29","22","22","25","15","25","15","15","11","17","24","18","22","8","16","14","27","20","20","31","9","24","19","23","17","33","27","16","21","21","24","6","27","16","18","18","15","21","25","17","23","23","15","24","17","21","16","24","13","16","20","26","24","20","11","25","28","22","14","9","26","19","22","26","17","23","26","26","18","20","21","21","25","15","19","25","18","9","10","19","19","21","18","16","24","22","17","19","23","18","21","27","16","20","20","25","28","25","21","24","27","16","26","16","14","16","24","17","10","19","24","22","16","6","32","18","16","25","20","17","20","27","24","17","22","18","29","25","16","24","15","12","8","14","13","21","22","14","18","19"
"34","Thursday","15","4","32","18","28","19","19","22","8","19","25","28","10","25","22","17","18","14","23","17","21","25","22","16","25","9","17","15","16","18","19","20","19","26","21","19","16","19","21","20","21","25","21","18","25","19","21","18","27","25","27","22","24","20","22","30","16","17","24","12","19","16","16","21","29","20","22","16","15","22","24","16","14","18","30","17","17","22","15","20","16","24","20","18","17","25","14","23","21","24","22","15","25","32","20","12","14","19","24","27","30","18","22","15","16","24","19","24","10","18","23","17","21","14","23","20","20","27","18","21","20","15","16","30","20","18","18","14","17","24","28","18","30","13","20","20","22","19","16","17","16","12","15","16"
"35","Thursday","15","5","19","25","14","22","20","24","15","11","15","25","14","21","22","6","18","13","22","6","18","23","21","11","23","24","14","9","15","18","21","18","20","8","25","26","9","33","28","10","21","18","16","10","13","16","22","25","19","14","20","18","17","16","10","23","25","24","19","20","27","24","18","16","19","17","21","23","26","26","21","19","23","22","16","12","26","18","21","20","20","13","19","18","22","21","20","26","15","15","26","20","29","12","17","17","23","26","5","27","9","19","14","25","23","28","24","15","17","18","25","22","24","22","14","19","18","25","22","17","19","17","18","13","16","21","37","23","26","17","18","22","22","16","19","20","29","13","23","8","6","15","17","18"
"36","Thursday","15","6","18","22","28","14","18","23","31","22","12","23","11","20","21","14","21","20","21","20","27","16","17","15","17","17","24","18","23","20","25","21","17","11","18","16","29","18","17","19","16","27","17","19","8","27","28","22","18","15","20","14","14","21","22","17","21","26","28","17","13","15","17","22","18","17","21","25","13","23","14","13","22","17","9","21","16","15","8","17","21","26","22","13","24","16","20","21","24","20","29","12","21","22","15","16","21","17","21","27","25","17","19","13","20","12","19","19","11","15","17","13","14","21","27","13","27","19","14","22","14","10","20","17","14","26","17","20","13","25","15","24","11","14","19","23","19","30","25","17","11","8","33","21"
"37","Thursday","16","1","25","21","21","23","19","19","15","21","15","19","16","23","17","15","22","22","19","13","14","18","18","21","9","11","17","13","17","20","21","28","18","16","21","13","15","17","23","34","21","22","5","21","19","24","25","13","22","11","22","23","16","21","13","14","23","28","36","21","29","13","25","22","21","16","22","23","20","26","27","21","28","17","23","24","13","25","19","13","25","13","18","20","22","14","2","30","13","23","18","22","20","30","18","23","23","17","27","26","17","19","22","24","18","25","23","25","24","12","18","18","25","21","25","12","18","23","15","14","12","30","23","27","27","19","22","12","28","31","17","11","14","19","23","19","15","21","26","17","24","10","22","25"
"38","Thursday","16","2","18","25","26","23","22","12","26","16","24","11","20","21","21","14","17","26","15","17","18","24","16","18","17","21","18","15","25","19","17","17","22","27","16","20","28","25","21","23","17","28","19","20","33","22","16","16","17","23","18","23","24","21","18","11","16","14","29","23","16","27","23","18","16","22","21","17","17","20","21","22","20","16","13","22","21","15","13","14","24","18","20","16","21","13","20","26","21","16","14","20","16","17","18","14","18","23","22","22","18","26","9","23","17","10","20","7","4","23","21","20","16","22","15","16","16","19","26","15","21","24","18","19","25","23","22","23","8","19","24","18","16","30","20","31","21","17","21","22","21","22","18","19"
"39","Thursday","16","3","18","23","16","15","21","20","19","19","18","21","17","25","22","19","13","8","21","20","15","19","19","16","32","31","22","20","19","16","20","21","17","29","18","23","18","8","20","22","15","22","14","19","18","22","23","21","13","24","23","24","22","26","23","22","13","19","27","20","18","25","18","24","23","28","16","13","27","17","22","29","19","16","18","18","23","17","16","22","23","12","21","16","33","19","27","13","18","36","17","27","28","30","17","19","20","21","27","21","17","17","26","20","18","26","24","20","26","21","17","17","23","25","10","18","21","22","21","21","21","21","18","22","20","15","16","15","20","24","16","18","11","21","19","26","14","18","22","19","26","20","12","30"
"40","Thursday","16","4","27","23","20","21","24","14","19","23","22","16","15","12","20","14","19","16","17","22","15","14","18","17","21","27","27","22","15","20","23","18","17","22","20","17","20","13","17","19","17","19","23","9","20","27","19","13","26","20","16","29","19","23","23","26","22","18","11","23","16","17","24","24","10","15","12","22","25","18","19","19","18","16","8","11","20","19","13","19","12","20","19","12","18","32","17","21","20","20","17","20","17","15","18","27","17","13","26","15","20","23","15","22","22","26","22","12","20","22","20","24","21","9","21","24","16","20","21","18","18","25","25","26","17","22","18","16","19","10","17","24","16","23","14","18","22","25","21","12","29","15","21","30"
"41","Thursday","16","5","18","18","16","18","20","20","24","21","24","9","17","18","15","15","17","18","20","18","14","16","18","19","18","27","9","24","21","26","15","19","16","22","19","20","16","14","12","21","23","22","10","20","24","12","15","25","24","24","18","21","15","17","17","25","13","21","18","28","17","17","21","20","23","24","16","15","22","22","17","24","12","23","16","16","28","21","22","11","21","23","24","23","13","21","23","29","19","22","24","21","26","20","16","16","15","23","20","25","22","25","25","10","23","20","9","17","23","18","17","20","18","11","21","24","21","23","15","29","17","21","18","18","25","16","20","15","20","17","17","17","24","11","19","11","18","21","21","18","24","20","16","15"
"42","Thursday","16","6","19","23","18","20","19","18","12","18","19","15","19","15","12","14","18","24","25","28","11","19","18","21","24","12","18","19","20","16","18","19","17","17","21","15","15","20","23","21","26","18","25","24","18","15","28","15","30","20","24","23","26","17","23","29","22","26","27","17","15","11","17","25","22","18","15","19","27","4","19","19","18","21","15","24","23","23","19","19","16","21","27","21","21","22","26","25","16","26","22","20","21","18","27","21","20","25","11","14","16","24","28","22","25","5","19","13","15","21","23","26","22","24","18","19","24","26","25","22","19","18","18","19","14","22","20","17","17","16","21","15","17","18","17","19","19","16","18","18","25","17","23","17"
